id,text,label,domain,spam_category,split,template_group
synthetic-v11-00034,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1033. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00036,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1035. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00037,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Strasbourg-1036. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00038,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1037.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00040,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1039. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00042,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1041. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00043,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Bordeaux-1042. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00044,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1043.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00046,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1045. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00048,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1047. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00049,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Angers-1048. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00050,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1049.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00052,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1051. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00054,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1053. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00055,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Rouen-1054. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00056,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1055.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00058,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1057. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00060,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1059. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00061,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Lyon-1060. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00062,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1061.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00064,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1063. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00066,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1065. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00067,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Strasbourg-1066. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00068,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1067.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00070,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1069. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00072,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1071. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00073,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Bordeaux-1072. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00074,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1073.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00076,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1075. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00078,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1077. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00079,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Angers-1078. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00080,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1079.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00082,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1081. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00084,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1083. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00085,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Rouen-1084. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00086,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1085.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00088,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1087. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00090,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1089. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00091,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Lyon-1090. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00092,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1091.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00094,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1093. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00096,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1095. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00097,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Strasbourg-1096. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00098,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1097.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00100,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1099. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00102,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1101. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00103,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Bordeaux-1102. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00104,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1103.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00106,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1105. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00108,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1107. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00109,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Angers-1108. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00110,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1109.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00112,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1111. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00114,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1113. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00115,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Rouen-1114. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00116,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1115.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00118,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1117. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00120,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1119. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00121,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Lyon-1120. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00122,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1121.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00124,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1123. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00126,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1125. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00127,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Strasbourg-1126. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00128,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1127.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00130,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1129. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00132,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1131. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00133,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Bordeaux-1132. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00134,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1133.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00136,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1135. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00138,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1137. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00139,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Angers-1138. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00140,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1139.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00142,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1141. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00144,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1143. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00145,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Rouen-1144. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00146,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1145.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00148,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1147. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00150,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1149. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00151,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Lyon-1150. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00152,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1151.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00154,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1153. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00156,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1155. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00157,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Strasbourg-1156. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00158,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1157.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00160,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1159. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00162,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1161. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00163,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Bordeaux-1162. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00164,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1163.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00166,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1165. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00168,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1167. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00169,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Angers-1168. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00170,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1169.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00172,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1171. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00174,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1173. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00175,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Rouen-1174. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00176,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1175.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00178,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1177. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
